lokasi,harga,jenis_properti,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,luas_tanah,luas_bangunan
"Medan Area, Medan",20.671972543611492,Ruko,0.0,4.0,0.0,4.634728988229636,5.44673737166631
"Medan Marelan, Medan",20.500122286882203,Ruko,0.0,3.0,0.0,4.795790545596741,4.795790545596741
"Medan Kota, Medan",21.821878125947855,Ruko,0.0,4.0,0.0,4.174387269895637,5.303304908059076
"Medan Sunggal, Medan",21.416413018006356,Ruko,0.0,3.0,0.0,4.343805421853684,5.43372200355424
"Medan Deli, Medan",21.12873094572124,Apartemen,2.0,1.0,0.0,4.04305126783455,4.04305126783455
"Medan Barat, Medan",21.101702273351588,Apartemen,2.0,1.0,0.0,4.04305126783455,4.04305126783455
"Medan Sunggal, Medan",21.305481457357732,Ruko,0.0,5.0,0.0,5.4510384535657,5.921578419643816
"Medan Helvetia, Medan",20.330223250318287,Rumah,3.0,2.0,1.0,4.23410650459726,4.795790545596741
"Medan Helvetia, Medan",20.330223250318287,Rumah,3.0,2.0,1.0,4.23410650459726,4.795790545596741
"Medan Helvetia, Medan",20.29248292239242,Rumah,3.0,2.0,1.0,4.110873864173311,4.574710978503383
"Medan Helvetia, Medan",20.29248292239242,Rumah,3.0,2.0,1.0,4.110873864173311,4.574710978503383
"Medan Tuntungan, Medan",20.169880600500754,Rumah,2.0,2.0,0.0,4.2626798770413155,4.51085950651685
"Medan Tembung, Medan",20.29248292239242,Rumah,0.0,0.0,0.0,3.6635616461296463,4.890349128221754
"Medan Helvetia, Medan",20.617905322399697,Rumah,3.0,2.0,0.0,4.51085950651685,5.198497031265826
"Medan Johor, Medan",20.7030631306493,Rumah,2.0,0.0,0.0,4.174387269895637,5.198497031265826
"Medan Polonia, Medan",22.82739999133857,Rumah,5.0,5.0,3.0,5.755742213586912,6.311734809152915
"Medan Marelan, Medan",21.639556569220566,Ruko,0.0,3.0,0.0,4.6913478822291435,5.777652323222656
"Medan Tembung, Medan",21.22404112546496,Ruko,0.0,3.0,0.0,4.290459441148391,5.4680601411351315
"Medan Marelan, Medan",21.253894088596816,Ruko,0.0,3.0,0.0,4.762173934797756,5.564520407322694
"Medan Marelan, Medan",21.253894088596816,Ruko,0.0,3.0,0.0,4.762173934797756,5.564520407322694
"Medan Selayang, Medan",20.29248292239242,Rumah,3.0,2.0,1.0,4.948759890378168,4.2626798770413155
"Medan Tuntungan, Medan",19.667713040612313,Rumah,2.0,1.0,1.0,4.290459441148391,3.8918202981106265
