nama,lokasi,harga,jenis_properti,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,luas_tanah,luas_bangunan
Rumah 3 Lantai Dalam Komplek Dekat Teladan Rumah,"Medan Kota, Medan","Rp 1,2 Miliar",Rumah,4,2,1,126 m²,230 m²
Rumah Mewah Full Furnish Medan Sunggal,"Medan Sunggal, Medan","Rp 2,1 Miliar",Rumah,5,4,2,155 m²,200 m²
Rumah Mewah Siap Huni,"Medan Johor, Medan","Rp 1,35 Miliar",Rumah,4,4,1,130 m²,150 m²
Dijual Rumah 2 Lantai Dalam Komplek Di Ringroad,"Medan Sunggal, Medan","Rp 1,25 Miliar",Rumah,5,4,2,154 m²,200 m²
"Rumah di Taman Polonia Medan, Medan","Medan Kota, Medan",Rp 13 Miliar,Rumah,6,,4,417 m²,700 m²
Rumah Minimalis The Tentram Village Medan,"Medan Sunggal, Medan",Rp 260 Juta,Rumah,2,1,,72 m²,45 m²
Rumah Siap Huni Gatsu Mansion Medan Sunggal,"Medan Sunggal, Medan",Rp 595 Juta,Rumah,3,2,1,96 m²,96 m²
Dijual Ruko Murah Siap Huni Jl. Bambu 2 Medan,"Medan Timur, Medan","Rp 2,5 Miliar Total",Ruko,,,,136 m²,84 m²
Rumah Dijual di Komplek Nusa Dua Residence,"Medan Helvetia, Medan","Rp 2,7 Miliar",Rumah,3,3,,72 m²,260 m²
Dijual Villa Komplek Grand Patriot Palace Full Fasilitas,"Medan Sunggal, Medan","Rp 3,62 Miliar",Rumah,2,2,,116 m²,150 m²
Rumah Murah Dan Luas di Komplek The Cananga,"Medan Sunggal, Medan","Rp 1,75 Miliar",Rumah,4,2,,140 m²,126 m²
Ruko siap huni 3½ tingkat murah daerah krakatau,"Medan Timur, Medan","Rp 1,2 Miliar Total",Ruko,,3,,107 m²,200 m²
Rumah di Helvetia Medan,"Medan Helvetia, Medan",Rp 850 Juta,Rumah,4,3,2,221 m²,295 m²
Jual Rumah Komplek Tasbi Taman Setia Budi Indah Medan,"Medan Sunggal, Medan","Rp 1,25 Miliar",Rumah,3,2,,156 m²,147 m²
Rumah Siap Huni Dalam Komplek Dekat Usu,"Medan Selayang, Medan","Rp 1,5 Miliar",Rumah,5,3,,119 m²,155 m²
Kualitas Rumah Bagus Lokasi Dekat Kampus Usu,"Medan Selayang, Medan",Rp 595 Juta,Rumah,3,1,,108 m²,60 m²
Dijual Rumah Hook Tanah Luas Harga Nego Dijalan Sejati Dekat Poltabes Medan Akses Top,"Medan Perjuangan, Medan","Rp 2,7 Miliar",Rumah,4,3,,350 m²,200 m²
"Rumah Murah Lebar 7 Simpang Selayang di Simpang Selayang, Medan Selayang","Medan Selayang, Medan",Rp 550 Juta,Rumah,2,1,1,98 m²,55 m²
Rumah Mewah Siap Huni Di Stm,"Medan Johor, Medan","Rp 1,35 Miliar",Rumah,4,4,2,110 m²,150 m²
"Rumah Cantik Uk 7x20 Padang Bulan Setia Budi di Jl. Sembada XI, Padang Bulan Selayang II, Kec. Medan Selayang, Kota Medan, Sumatera Utara, Medan Selayang","Medan Selayang, Medan",Rp 750 Juta,Rumah,3,2,2,140 m²,70 m²
"Dijual Rumah Cantik Siap Huni Titi Kuning di jln Titi kuning, Medan Johor","Medan Johor, Medan",Rp 540 Juta,Rumah,2,1,1,90 m²,50 m²
"Rumah Double Dinding Hanya Dekat Ke Kampus Usu di jln bunga ester, Medan Selayang","Medan Selayang, Medan",Rp 495 Juta,Rumah,2,1,1,96 m²,50 m²
"Rumah Uk 8x15 Cuma 309 Jutaan Di Johor Ujung di 13. 8, Jl. Penampungan, Deli Tua, Namo Rambe, Deli Serdang, Sumatera Utara, Indonesia, 20356, Medan Johor","Medan Johor, Medan",Rp 375 Juta,Rumah,2,1,1,120 m²,50 m²
"Rumah 2 Lantai Cuma 500 Jutaan Johor Ujung di Jl. Padat Karya, Gg. Sukur No. 5d, Deli Tua, Namo Rambe, Deli Serdang, Sumatera Utara, Indonesia, 20356, Medan Johor","Medan Johor, Medan",Rp 588 Juta,Rumah,3,2,1,72 m²,72 m²
"Rumah Mewah Dekat Rcw Ringroad di Jl. Abadi No.63, Tanjung Rejo, Medan Sunggal, Kota Medan, Sumatera Utara, Indonesia, 20122, Medan Sunggal","Medan Sunggal, Medan",Rp 988 Juta,Rumah,3,3,1,78 m²,120 m²
Rumah Double Dinding Gatot Subroto,"Medan Kota, Medan",Rp 485 Juta,Rumah,2,1,1,66 m²,52 m²
"Rumah Paling Murah Di Kawasan Setia Budi Rumah Bagus di Jl. Perjuangan, Tj. Rejo, Kec. Medan Sunggal, Kota Medan, Sumatera Utara, Medan Sunggal","Medan Sunggal, Medan",Rp 398 Juta,Rumah,2,1,1,72 m²,45 m²
"Rumah Cantik 7x20 Medan Johor di Jl. Karya Jaya, Gg. Eka Wardoyo No. 19, Gedung Johor, Medan Johor, Kota Medan, Sumatera Utara, Indonesia, 20144, Medan Johor","Medan Johor, Medan",Rp 540 Juta,Rumah,2,1,1,140 m²,55 m²
Rumah Ready Akses Setia Budi Ringroad,"Medan Selayang, Medan","Rp 1,2 Miliar",Rumah,3,2,1,200 m²,100 m²
Rumah Luas Semi Furnish Komplek Pondok Surya,"Medan Helvetia, Medan","Rp 1,8 Miliar",Rumah,4,3,2,252 m²,150 m²
"Rumah Siap Huni Di Medan Johor di Medan Johor, Medan Johor","Medan Johor, Medan",Rp 565 Juta,Rumah,2,1,1,102 m²,60 m²
Rumah murah 2 tingkat siap huni full furnished,"Medan Petisah, Medan",Rp 550 Juta,Rumah,2,2,1,90 m²,120 m²
Rumah Keren Stm Mansion Dekat Kantor Bpn,"Medan Amplas, Medan","Rp 1,3 Miliar",Rumah,4,4,1,169 m²,175 m²
"Dijual Rumah Jalan Sampali, Medan Sumatera Utara","Medan Area, Medan","Rp 1,1 Miliar",Rumah,3,3,2,155 m²,126 m²
Ruko Medan Kota Lokasi Strategis di Jalan Jambi,"Medan Kota, Medan","Rp 3,6 Miliar Total",Ruko,,4,,150 m²,286 m²
Dijual Cepat Apartemen Mansyur Residence Dekat Usu,"Medan Sunggal, Medan",Rp 420 Juta,Apartemen,1,1,,,24 m²
Dijual Villa Makmur Garden Furnished Modern Minimalis,"Medan Timur, Medan","Rp 6,5 Miliar",Rumah,4,6,,120 m²,600 m²
Apartemen Bagus Siap Huni Dijual Cepat Reiz Condo,"Medan Barat, Medan",Rp 2 Miliar,Apartemen,2,1,,,82 m²
Dijual Apartemen Grand Jati Junction Hook Termurah,"Medan Timur, Medan","Rp 3,1 Miliar",Apartemen,3,3,,,169 m²
Dijual Ruko Hook Gandeng Murah Daerah Jalan Rakyat,"Medan Perjuangan, Medan","Rp 3,75 Miliar Total",Ruko,,4,,266 m²,126 m²
Ruko Murah Dijual Jalan Sei Kera Daerah Sutomo,"Medan Perjuangan, Medan","Rp 2,5 Miliar Total",Ruko,,3,,120 m²,416 m²
Reiz Condo,"Medan Barat, Medan","Rp 2,9 Miliar",Apartemen,3,3,,,11 m²
The Melody - Mapilindo,"Medan Barat, Medan",Rp 425 Juta,Rumah,,,,80 m²,80 m²
New Tower Victory Tower At Podomoro City Deli Medan,"Medan Barat, Medan",Rp 980 Juta,Apartemen,1,1,,,28 m²
Baru Launching Victory Tower At Podomoro City Deli Medan,"Medan Barat, Medan",Rp 980 Juta,Apartemen,1,1,,,28 m²
Victory Tower At Podomoro City Deli Medan 1+1br,"Medan Barat, Medan",Rp 2 Miliar,Apartemen,1,1,,,58 m²
"Dijual Condominium Reiz Condo Type 2 Bedroom 84,84m2","Medan Barat, Medan",Rp 2 Miliar,Apartemen,2,,,,84 m²
Komplek Ismailiyah,"Medan Area, Medan",Rp 750 Juta,Rumah,3,3,,130 m²,110 m²
De Castillo Residence,"Medan Denai, Medan",Rp 588 Juta,Rumah,,,,175 m²,175 m²
Dijual Komplek Glugur Regency Ruko,"Medan Deli, Medan","Rp 1,08 Miliar Total",Ruko,,,,64 m²,64 m²
Villa Royal Park,"Medan Helvetia, Medan","Rp 1,3 Miliar",Rumah,3,2,,240 m²,150 m²
Komplek The Zen Jalan Durung Pancing,"Medan Tembung, Medan","Rp 1,2 Miliar",Rumah,3,4,1,80 m²,110 m²
Komplek Makro Estate,"Medan Petisah, Medan",Rp 300 Juta,Rumah,,,,72 m²,48 m²
The Zen Cemara,"Medan Tembung, Medan",Rp 788 Juta,Rumah,,,,143 m²,118 m²
Ruko Kapten Muslim,"Medan Helvetia, Medan",Rp 1 Miliar /m²,Ruko,,3,1,168 m²,168 m²
Komplek Tuasan Garden,"Medan Tembung, Medan","Rp 1,5 Miliar",Rumah,3,2,,384 m²,336 m²
Ruko Gandeng Kapten Muslim,"Medan Helvetia, Medan","Rp 4,3 Miliar",Ruko,,3,,560 m²,448 m²
Madio Santoso,"Medan Timur, Medan","Rp 1,25 Miliar",Rumah,,,,270 m²,150 m²
Proyek Baru Komplek Cemara Park Palace,"Medan Deli, Medan","Rp 1,78 Miliar",Rumah,3,3,1,96 m²,120 m²
Global Haus Residence,"Medan Tembung, Medan",Rp 925 Juta,Rumah,3,3,,120 m²,120 m²
New Project Capital Residence Di Kawasan Medan Johor,"Medan Johor, Medan",Rp 930 Juta,Rumah,2,2,1,112 m²,115 m²
Bhayangkara Palace,"Medan Tembung, Medan","Rp 2,2 Miliar",Rumah,,,,315 m²,262 m²
Komplek Bilal Citra Permai,"Medan Timur, Medan",Rp 900 Juta,Rumah,3,3,,70 m²,6 m²
Dijual Murah Apartment Mewah di Grand Jati Junction,"Medan Timur, Medan","Rp 2,9 Miliar",Apartemen,4,3,,,141 m²
Dijual Condominium Reiz Condo Type 2 Bedroom 82.22m2,"Medan Barat, Medan","Rp 1,9 Miliar",Apartemen,2,1,,,82 m²
Dijual Apartment Mansyur Residence Tower Diamond Type Studio,"Medan Sunggal, Medan",Rp 550 Juta,Apartemen,1,1,,,24 m²
Dijual Apartment Podomoro Tower Liberty 25,"Medan Area, Medan","Rp 1,65 Miliar",Apartemen,2,1,,,62 m²
Apartemen Wahid Private Residence Studio,"Medan Baru, Medan",Rp 860 Juta,Apartemen,1,1,,,40 m²
River Place Villa,"Medan Johor, Medan",Rp 750 Juta,Rumah,,,,100 m²,100 m²
Komplek Mados Royal Suite,"Medan Timur, Medan",Rp 850 Juta,Rumah,,,,110 m²,55 m²
Ruko Dijual Daerah Sunggal,"Medan Sunggal, Medan",Rp 550 Juta /m²,Ruko,,,,104 m²,93 m²
Pukat Permata,"Medan Timur, Medan",Rp 950 Juta,Rumah,3,3,,130 m²,130 m²
Komplek Banyan Tree,"Medan Timur, Medan",Rp 895 Juta,Rumah,,,,126 m²,126 m²
Well Astate,"Medan Barat, Medan","Rp 1,42 Miliar",Rumah,,,,84 m²,210 m²
Segera Di Bangun The Marriott Suites Private Residence,"Medan Sunggal, Medan","Rp 1,75 Miliar",Rumah,3,3,1,96 m²,216 m²
New Launching !!! Krakautau Ville,"Medan Timur, Medan",Rp 788 Juta,Rumah,,,,260 m²,260 m²
Komplek Pembangunan 3,"Medan Timur, Medan",Rp 738 Juta,Rumah,3,2,,125 m²,112 m²
De Castillo,"Medan Denai, Medan",Rp 588 Juta,Rumah,1,1,,70 m²,140 m²
Komplek Mentari Abadi Jalan Taduan Pancing,"Medan Tembung, Medan",Rp 850 Juta,Rumah,2,2,,40 m²,120 m²
Condominium Manhattan,"Medan Sunggal, Medan","Rp 3,8 Miliar",Apartemen,2,2,,,140 m²
Dijual Apartment Murah di Grand Jati Junction,"Medan Timur, Medan","Rp 1,35 Miliar",Apartemen,2,2,,,77 m²
Komplek Sevilla Suites,"Medan Helvetia, Medan",Rp 890 Juta,Rumah,2,3,,150 m²,100 m²
Komplek Krakatau Townville,"Medan Timur, Medan",Rp 118 Miliar,Rumah,,,,180 m²,127 m²
Komplek Liberty,"Medan Timur, Medan",Rp 1 Miliar,Rumah,2,3,,100 m²,75 m²
"Dijual Villa Jewel Residence
Jalan Sidorukun - Krakatau","Medan Timur, Medan","Rp 2,25 Miliar",Rumah,3,4,,81 m²,60 m²
Ruko Pasar 3,"Medan Timur, Medan","Rp 1,6 Miliar /m²",Ruko,,3,,346 m²,236 m²
Ruko Kotanopan,"Medan Kota, Medan","Rp 4,8 Miliar /m²",Ruko,,1,,186 m²,176 m²
Cemara Harmoni,"Medan Tembung, Medan",Rp 925 Juta,Rumah,,,,132 m²,120 m²
Komplek Karya Setuju,"Medan Barat, Medan",Rp 850 Juta,Rumah,3,3,,160 m²,125 m²
Perumahan Jemadi Garden,"Medan Barat, Medan",Rp 367 Juta,Rumah,2,1,,68 m²,58 m²
Komplek Sekip,"Medan Baru, Medan",Rp 880 Juta,Rumah,2,1,,100 m²,90 m²
Ruko Jln. Budi Kemenangan,"Medan Barat, Medan","Rp 1,6 Miliar Total",Ruko,,3,,128 m²,84 m²
Rumah Cantik Siap Huni Daerah Medan Sunggal,"Medan Sunggal, Medan","Rp 1,95 Miliar",Rumah,3,2,1,210 m²,85 m²
Hunian Nyaman Mansyur Space Dekat Kampus Usu,"Medan Selayang, Medan",Rp 750 Juta,Rumah,3,2,1,72 m²,80 m²
"Dijual Rumah Bonus Furniture Dalam Komplek Pondok Surya di pondok surya, Medan Helvetia","Medan Helvetia, Medan","Rp 1,8 Miliar",Rumah,4,3,1,252 m²,252 m²
Dijual Rumah Cantik Dalam Komplek Medan Johor,"Medan Johor, Medan",Rp 650 Juta,Rumah,3,2,1,90 m²,135 m²
Rumah Cantik Dekat Kampus Usu Medan Selayang Rumah,"Medan Selayang, Medan",Rp 550 Juta,Rumah,2,1,1,98 m²,55 m²
"Rumah 2 Lantai Murah Di Gaperta di Gaperta, Medan Helvetia","Medan Helvetia, Medan",Rp 688 Juta,Rumah,3,3,1,104 m²,90 m²
Rumah Siap Huni Dalam Komplek Medan Johor Rumah,"Medan Johor, Medan",Rp 625 Juta,Rumah,3,2,1,102 m²,80 m²
Rumah Siap Huni Dalam Komplek Di Ringroad,"Medan Sunggal, Medan","Rp 1,4 Miliar",Rumah,4,4,2,149 m²,160 m²
"Rumah 2 Lantai Lokasi Strategis Medan Johor di jln eka suka, Medan Johor","Medan Johor, Medan",Rp 898 Juta,Rumah,3,3,1,90 m²,115 m²
Rumah Full Furnished Dalam Komplek Di Gaperta Rumah,"Medan Helvetia, Medan",Rp 550 Juta,Rumah,2,1,1,72 m²,60 m²
Rumah 2 Lantai Cuma 600 Jutaan Simpang Selayang Rumah,"Medan Selayang, Medan",Rp 658 Juta,Rumah,3,2,1,96 m²,90 m²
"Rumah Murah Dekat Mercy Di Johor di jln karya wisata, Medan Johor","Medan Johor, Medan",Rp 395 Juta,Rumah,2,1,1,102 m²,50 m²
Dijual Cepat Ruko Gandeng Manchester Medan,"Medan Timur, Medan","Rp 4,2 Miliar Total",Ruko,,6,,192 m²,448 m²
Dijual Rumah Cantik Dalam Komplek Medan Johor,"Medan Johor, Medan",Rp 650 Juta,Rumah,3,2,1,90 m²,135 m²
Rumah Cantik Dekat Kampus Usu Medan Selayang Rumah,"Medan Selayang, Medan",Rp 550 Juta,Rumah,2,1,1,98 m²,55 m²
"Rumah 2 Lantai Murah Di Gaperta di Gaperta, Medan Helvetia","Medan Helvetia, Medan",Rp 688 Juta,Rumah,3,3,1,104 m²,90 m²
Rumah Siap Huni Dalam Komplek Medan Johor Rumah,"Medan Johor, Medan",Rp 625 Juta,Rumah,3,2,1,102 m²,80 m²
