iter	Passed	Remaining
813	36977	8449
814	37013	8401
815	37053	8355
816	37096	8309
817	37140	8263
818	37182	8217
819	37221	8170
820	37253	8122
821	37290	8075
822	37324	8027
823	37364	7980
824	37400	7933
825	37445	7887
826	37486	7841
827	37523	7794
828	37561	7747
829	37601	7701
830	37638	7654
831	37675	7607
832	37713	7560
833	37754	7514
834	37790	7467
835	37824	7420
836	37862	7373
837	37900	7326
838	37939	7280
839	37979	7234
840	38017	7187
841	38053	7140
842	38093	7094
843	38125	7046
844	38160	6999
845	38197	6953
846	38228	6905
847	38262	6858
848	38299	6811
849	38335	6765
850	38367	6717
851	38406	6671
852	38448	6625
853	38481	6578
854	38523	6533
855	38563	6487
856	38596	6440
857	38634	6393
858	38671	6347
859	38774	6312
860	38830	6268
861	38872	6223
862	38911	6177
863	38946	6130
864	38979	6083
865	39024	6038
866	39063	5992
867	39115	5948
868	39189	5907
869	39247	5864
870	39296	5820
871	39340	5774
872	39380	5728
873	39424	5683
874	39471	5638
875	39512	5593
876	39558	5548
877	39604	5503
878	39656	5458
879	39707	5414
880	39744	5368
881	39815	5326
882	39872	5283
883	39930	5239
884	40000	5197
885	40058	5154
886	40106	5109
887	40161	5065
888	40192	5018
889	40230	4972
890	40267	4926
891	40305	4880
892	40340	4833
893	40387	4788
894	40435	4743
895	40499	4700
896	40558	4657
897	40608	4612
898	40651	4567
899	40695	4521
900	40740	4476
901	40782	4430
902	40823	4385
903	40880	4341
904	40958	4299
905	41036	4257
906	41095	4213
907	41137	4168
908	41189	4123
909	41224	4077
910	41260	4030
911	41296	3984
912	41330	3938
913	41362	3891
914	41397	3845
915	41430	3799
916	41466	3753
917	41503	3707
918	41540	3661
919	41574	3615
920	41613	3569
921	41653	3523
922	41695	3478
923	41730	3432
924	41764	3386
925	41809	3341
926	41847	3295
927	41885	3249
928	41923	3204
929	41960	3158
930	41997	3112
931	42034	3066
932	42069	3021
933	42108	2975
934	42189	2932
935	42228	2887
936	42264	2841
937	42300	2795
938	42337	2750
939	42369	2704
940	42405	2658
941	42437	2612
942	42475	2567
943	42512	2521
944	42555	2476
945	42586	2430
946	42617	2385
947	42664	2340
948	42711	2295
949	42750	2250
950	42792	2204
951	42832	2159
952	42873	2114
953	42929	2069
954	42970	2024
955	43008	1979
956	43053	1934
957	43097	1889
958	43157	1845
959	43197	1799
960	43243	1754
961	43289	1709
962	43332	1664
963	43377	1619
964	43420	1574
965	43457	1529
966	43496	1484
967	43531	1439
968	43563	1393
969	43595	1348
970	43631	1303
971	43666	1257
972	43712	1212
973	43774	1168
974	43823	1123
975	43872	1078
976	43922	1033
977	43967	989
978	44009	944
979	44045	898
980	44081	853
981	44112	808
982	44142	763
983	44175	718
984	44207	673
985	44241	628
986	44274	583
987	44310	538
988	44349	493
989	44389	448
990	44424	403
991	44458	358
992	44500	313
993	44531	268
994	44563	223
995	44595	179
996	44628	134
997	44659	89
998	44691	44
999	44725	0
